code_geo,annee,nb_faits_total,population_insee,nb_indicateurs,taux_delinquance
59400,2022,337.0,9729.0,10,34.64
59401,2022,53.0,2230.0,7,23.77
59402,2022,0.0,843.0,7,0.0
59403,2022,0.0,708.0,4,0.0
59405,2022,0.0,493.0,7,0.0
59406,2022,0.0,423.0,6,0.0
59407,2022,0.0,583.0,3,0.0
59408,2022,8.0,1683.0,3,4.75
59409,2022,40.0,2488.0,5,16.08
59410,2022,976.0,21368.0,14,45.68
59411,2022,21.0,2077.0,4,10.11
59412,2022,0.0,275.0,5,0.0
59413,2022,0.0,552.0,7,0.0
59414,2022,79.0,4588.0,5,17.22
59415,2022,0.0,227.0,8,0.0
59416,2022,21.0,2538.0,5,8.27
59418,2022,6.0,1581.0,2,3.8
59419,2022,27.0,1466.0,6,18.42
59420,2022,0.0,61.0,13,0.0
59421,2022,569.0,13239.0,12,42.98
59422,2022,0.0,623.0,4,0.0
59423,2022,0.0,1422.0,3,0.0
59424,2022,23.0,1296.0,5,17.75
59425,2022,0.0,303.0,9,0.0
59426,2022,465.0,10125.0,13,45.93
59427,2022,0.0,606.0,4,0.0
59428,2022,100.0,3909.0,8,25.58
59429,2022,36.0,2759.0,6,13.05
59430,2022,6.0,1091.0,4,5.5
59431,2022,270.0,7685.0,8,35.13
59432,2022,0.0,511.0,2,0.0
