commune,bloc_vainqueur,target_mc,target_label,prediction,prediction_label,correct
Wattignies-la-Victoire,CENTRE,0,CENTRE,1,DROITE,0
Wignehies,DROITE,1,DROITE,1,DROITE,1
Willies,DROITE,1,DROITE,1,DROITE,1
Comines,DROITE,1,DROITE,1,DROITE,1
Deûlémont,CENTRE,0,CENTRE,1,DROITE,0
Lambersart,CENTRE,0,CENTRE,0,CENTRE,1
Lompret,CENTRE,0,CENTRE,0,CENTRE,1
La Madeleine,CENTRE,0,CENTRE,0,CENTRE,1
Marquette-lez-Lille,CENTRE,0,CENTRE,0,CENTRE,1
Pérenchies,CENTRE,0,CENTRE,1,DROITE,0
Quesnoy-sur-Deûle,CENTRE,0,CENTRE,0,CENTRE,1
Saint-André-lez-Lille,CENTRE,0,CENTRE,0,CENTRE,1
Verlinghem,CENTRE,0,CENTRE,0,CENTRE,1
Wambrechies,CENTRE,0,CENTRE,0,CENTRE,1
Warneton,CENTRE,0,CENTRE,1,DROITE,0
Wervicq-Sud,CENTRE,0,CENTRE,1,DROITE,0
Allennes-les-Marais,DROITE,1,DROITE,1,DROITE,1
Annoeullin,DROITE,1,DROITE,1,DROITE,1
Aubers,CENTRE,0,CENTRE,0,CENTRE,1
La Bassée,DROITE,1,DROITE,1,DROITE,1
Bauvin,DROITE,1,DROITE,1,DROITE,1
Camphin-en-Carembault,CENTRE,0,CENTRE,0,CENTRE,1
Carnin,CENTRE,0,CENTRE,0,CENTRE,1
Chemy,CENTRE,0,CENTRE,0,CENTRE,1
Emmerin,CENTRE,0,CENTRE,0,CENTRE,1
Fournes-en-Weppes,CENTRE,0,CENTRE,0,CENTRE,1
Fromelles,CENTRE,0,CENTRE,0,CENTRE,1
Gondecourt,CENTRE,0,CENTRE,0,CENTRE,1
Hantay,CENTRE,0,CENTRE,0,CENTRE,1
Haubourdin,DROITE,1,DROITE,1,DROITE,1
Herlies,CENTRE,0,CENTRE,0,CENTRE,1
Herrin,CENTRE,0,CENTRE,0,CENTRE,1
Houplin-Ancoisne,CENTRE,0,CENTRE,0,CENTRE,1
Illies,DROITE,1,DROITE,0,CENTRE,0
Lesquin,CENTRE,0,CENTRE,0,CENTRE,1
Marquillies,CENTRE,0,CENTRE,0,CENTRE,1
Noyelles-lès-Seclin,CENTRE,0,CENTRE,0,CENTRE,1
Provin,DROITE,1,DROITE,1,DROITE,1
Sainghin-en-Weppes,CENTRE,0,CENTRE,1,DROITE,0
Salomé,DROITE,1,DROITE,1,DROITE,1
Santes,CENTRE,0,CENTRE,0,CENTRE,1
Seclin,DROITE,1,DROITE,2,GAUCHE,0
Templemars,CENTRE,0,CENTRE,0,CENTRE,1
Vendeville,CENTRE,0,CENTRE,0,CENTRE,1
Wattignies,CENTRE,0,CENTRE,0,CENTRE,1
Wavrin,DROITE,1,DROITE,1,DROITE,1
Wicres,CENTRE,0,CENTRE,0,CENTRE,1
Don,CENTRE,0,CENTRE,1,DROITE,0
Aix,CENTRE,0,CENTRE,0,CENTRE,1
Anstaing,CENTRE,0,CENTRE,0,CENTRE,1
Attiches,CENTRE,0,CENTRE,0,CENTRE,1
Auchy-lez-Orchies,CENTRE,0,CENTRE,0,CENTRE,1
Avelin,CENTRE,0,CENTRE,0,CENTRE,1
Bachy,CENTRE,0,CENTRE,0,CENTRE,1
Baisieux,CENTRE,0,CENTRE,0,CENTRE,1
Bersée,CENTRE,0,CENTRE,0,CENTRE,1
Beuvry-la-Forêt,DROITE,1,DROITE,0,CENTRE,0
Bourghelles,CENTRE,0,CENTRE,0,CENTRE,1
Bouvines,CENTRE,0,CENTRE,0,CENTRE,1
Camphin-en-Pévèle,CENTRE,0,CENTRE,0,CENTRE,1
Cappelle-en-Pévèle,CENTRE,0,CENTRE,0,CENTRE,1
Chéreng,CENTRE,0,CENTRE,0,CENTRE,1
Cobrieux,CENTRE,0,CENTRE,0,CENTRE,1
Coutiches,CENTRE,0,CENTRE,0,CENTRE,1
Cysoing,CENTRE,0,CENTRE,0,CENTRE,1
Ennevelin,CENTRE,0,CENTRE,0,CENTRE,1
Faumont,CENTRE,0,CENTRE,0,CENTRE,1
Forest-sur-Marque,CENTRE,0,CENTRE,0,CENTRE,1
Fretin,CENTRE,0,CENTRE,0,CENTRE,1
Genech,CENTRE,0,CENTRE,0,CENTRE,1
Gruson,CENTRE,0,CENTRE,0,CENTRE,1
Landas,CENTRE,0,CENTRE,0,CENTRE,1
Louvil,CENTRE,0,CENTRE,0,CENTRE,1
Mérignies,CENTRE,0,CENTRE,0,CENTRE,1
Moncheaux,CENTRE,0,CENTRE,0,CENTRE,1
Mons-en-Pévèle,CENTRE,0,CENTRE,0,CENTRE,1
Mouchin,CENTRE,0,CENTRE,0,CENTRE,1
La Neuville,CENTRE,0,CENTRE,0,CENTRE,1
Nomain,CENTRE,0,CENTRE,0,CENTRE,1
Orchies,DROITE,1,DROITE,2,GAUCHE,0
Ostricourt,DROITE,1,DROITE,1,DROITE,1
Péronne-en-Mélantois,CENTRE,0,CENTRE,0,CENTRE,1
Phalempin,CENTRE,0,CENTRE,0,CENTRE,1
Pont-à-Marcq,CENTRE,0,CENTRE,0,CENTRE,1
Sailly-lez-Lannoy,CENTRE,0,CENTRE,0,CENTRE,1
Sainghin-en-Mélantois,CENTRE,0,CENTRE,0,CENTRE,1
Saméon,CENTRE,0,CENTRE,0,CENTRE,1
Templeuve-en-Pévèle,CENTRE,0,CENTRE,0,CENTRE,1
Thumeries,DROITE,1,DROITE,0,CENTRE,0
Tourmignies,CENTRE,0,CENTRE,0,CENTRE,1
Tressin,CENTRE,0,CENTRE,0,CENTRE,1
Wahagnies,DROITE,1,DROITE,1,DROITE,1
Wannehain,CENTRE,0,CENTRE,0,CENTRE,1
Willems,CENTRE,0,CENTRE,0,CENTRE,1
